	ensg	gene_name_v99	ensg_v99
6090	ENSG00000171094	ALK	ENSG00000171094.18
6095	ENSG00000173163	COMMD1	ENSG00000173163.10
6102	ENSG00000183023	SLC8A1	ENSG00000183023.18
6166	ENSG00000214694	ARHGEF33	ENSG00000214694.11
6348	ENSG00000250565	ATP6V1E2	ENSG00000250565.7
6482	ENSG00000003137	CYP26B1	ENSG00000003137.8
6483	ENSG00000005436	GCFC2	ENSG00000005436.14
6490	ENSG00000042493	CAPG	ENSG00000042493.16
6540	ENSG00000119862	LGALSL	ENSG00000119862.13
6552	ENSG00000135622	SEMA4F	ENSG00000135622.13
6557	ENSG00000135636	DYSF	ENSG00000135636.14
6570	ENSG00000144035	NAT8	ENSG00000144035.4
6581	ENSG00000153563	CD8A	ENSG00000153563.15
6585	ENSG00000162951	LRRTM1	ENSG00000162951.11
6586	ENSG00000163013	FBXO41	ENSG00000163013.11
6591	ENSG00000163219	ARHGAP25	ENSG00000163219.12
6595	ENSG00000168874	ATOH8	ENSG00000168874.13
6600	ENSG00000168894	RNF181	ENSG00000168894.10
6619	ENSG00000179833	SERTAD2	ENSG00000179833.4
6631	ENSG00000196975	ANXA4	ENSG00000196975.16
6987	ENSG00000084090	STARD7	ENSG00000084090.13
7012	ENSG00000135940	COX5B	ENSG00000135940.7
7014	ENSG00000135951	TSGA10	ENSG00000135951.16
7021	ENSG00000135973	GPR45	ENSG00000135973.3
7042	ENSG00000155066	PROM2	ENSG00000155066.16
7052	ENSG00000163162	RNF149	ENSG00000163162.9
7053	ENSG00000163586	FABP1	ENSG00000163586.10
7059	ENSG00000169756	LIMS1	ENSG00000169756.16
7490	ENSG00000088205	DDX18	ENSG00000088205.13
7495	ENSG00000115107	STEAP3	ENSG00000115107.20
7497	ENSG00000115112	TFCP2L1	ENSG00000115112.8
7501	ENSG00000125571	IL37	ENSG00000125571.9
7509	ENSG00000136002	ARHGEF4	ENSG00000136002.19
7569	ENSG00000169679	BUB1	ENSG00000169679.15
7574	ENSG00000173272	MZT2A	ENSG00000173272.16
7582	ENSG00000176771	NCKAP5	ENSG00000176771.17
7589	ENSG00000183840	GPR39	ENSG00000183840.7
7596	ENSG00000186684	CYP27C1	ENSG00000186684.14
7626	ENSG00000211460	TSN	ENSG00000211460.12
7977	ENSG00000007001	UPP2	ENSG00000007001.12
7987	ENSG00000078098	FAP	ENSG00000078098.14
7989	ENSG00000081479	LRP2	ENSG00000081479.15
8001	ENSG00000115263	GCG	ENSG00000115263.15
8002	ENSG00000115267	IFIH1	ENSG00000115267.8
8004	ENSG00000115290	GRB14	ENSG00000115290.10
8017	ENSG00000115966	ATF2	ENSG00000115966.17
8018	ENSG00000121964	GTDC1	ENSG00000121964.14
8036	ENSG00000136541	ERMN	ENSG00000136541.14
8048	ENSG00000144227	NXPH2	ENSG00000144227.5
8051	ENSG00000144278	GALNT13	ENSG00000144278.15
8052	ENSG00000144283	PKP4	ENSG00000144283.21
8065	ENSG00000152256	PDK1	ENSG00000152256.13
8066	ENSG00000153234	NR4A2	ENSG00000153234.14
8068	ENSG00000153246	PLA2R1	ENSG00000153246.13
8076	ENSG00000162989	KCNJ3	ENSG00000162989.5
8082	ENSG00000168280	KIF5C	ENSG00000168280.17
8086	ENSG00000169507	SLC38A11	ENSG00000169507.9
8089	ENSG00000172318	B3GALT1	ENSG00000172318.5
8097	ENSG00000182263	FIGN	ENSG00000182263.14
8100	ENSG00000184611	KCNH7	ENSG00000184611.12
8101	ENSG00000184898	RBM43	ENSG00000184898.7
8102	ENSG00000187123	LYPD6	ENSG00000187123.15
8125	ENSG00000204334	ERICH2	ENSG00000204334.7
8147	ENSG00000213160	KLHL23	ENSG00000213160.10
8380	ENSG00000241399	CD302	ENSG00000241399.7
8488	ENSG00000065413	ANKRD44	ENSG00000065413.20
8494	ENSG00000082126	MPP4	ENSG00000082126.18
8497	ENSG00000114933	INO80D	ENSG00000114933.16
8502	ENSG00000115368	WDR75	ENSG00000115368.10
8528	ENSG00000128699	ORMDL1	ENSG00000128699.14
8538	ENSG00000138386	NAB1	ENSG00000138386.17
8559	ENSG00000155636	RBM45	ENSG00000155636.15
8572	ENSG00000162998	FRZB	ENSG00000162998.5
8580	ENSG00000163596	ICA1L	ENSG00000163596.16
8586	ENSG00000170144	HNRNPA3	ENSG00000170144.20
8611	ENSG00000196950	SLC39A10	ENSG00000196950.14
8985	ENSG00000078018	MAP2	ENSG00000078018.20
8992	ENSG00000115009	CCL20	ENSG00000115009.13
8993	ENSG00000115020	PIKFYVE	ENSG00000115020.17
8996	ENSG00000115365	LANCL1	ENSG00000115365.12
9000	ENSG00000115461	IGFBP5	ENSG00000115461.5
9020	ENSG00000123983	ACSL3	ENSG00000123983.14
9052	ENSG00000138376	BARD1	ENSG00000138376.11
9053	ENSG00000138400	MDH1B	ENSG00000138400.13
9059	ENSG00000144445	KANSL1L	ENSG00000144445.17
9060	ENSG00000144451	SPAG16	ENSG00000144451.19
9062	ENSG00000144460	NYAP2	ENSG00000144460.12
9070	ENSG00000144589	STK11IP	ENSG00000144589.22
9072	ENSG00000152049	KCNE4	ENSG00000152049.6
9082	ENSG00000163053	SLC16A14	ENSG00000163053.11
9095	ENSG00000163481	RNF25	ENSG00000163481.8
9109	ENSG00000171450	CDK5R2	ENSG00000171450.6
9121	ENSG00000178385	PLEKHM3	ENSG00000178385.15
9136	ENSG00000187957	DNER	ENSG00000187957.8
9139	ENSG00000188760	TMEM198	ENSG00000188760.10
9145	ENSG00000198925	ATG9A	ENSG00000198925.12
9472	ENSG00000006607	FARP2	ENSG00000006607.14
9475	ENSG00000068024	HDAC4	ENSG00000068024.16
9483	ENSG00000085978	ATG16L1	ENSG00000085978.22
9488	ENSG00000113851	CRBN	ENSG00000113851.14
9490	ENSG00000115648	MLPH	ENSG00000115648.14
9491	ENSG00000115677	HDLBP	ENSG00000115677.17
9504	ENSG00000130414	NDUFA10	ENSG00000130414.12
9518	ENSG00000132170	PPARG	ENSG00000132170.21
9520	ENSG00000132321	IQCA1	ENSG00000132321.17
9527	ENSG00000134077	THUMPD3	ENSG00000134077.16
9535	ENSG00000142330	CAPN10	ENSG00000142330.20
9555	ENSG00000154743	TSEN2	ENSG00000154743.18
9565	ENSG00000156990	RPUSD3	ENSG00000156990.14
9576	ENSG00000163517	HDAC11	ENSG00000163517.15
9605	ENSG00000177463	NR2C2	ENSG00000177463.15
9647	ENSG00000204099	NEU4	ENSG00000204099.11
9649	ENSG00000206560	ANKRD28	ENSG00000206560.11
9984	ENSG00000088727	KIF9	ENSG00000088727.12
9992	ENSG00000114650	SCAP	ENSG00000114650.20
9993	ENSG00000114739	ACVR2B	ENSG00000114739.14
9996	ENSG00000114784	EIF1B	ENSG00000114784.4
10011	ENSG00000144647	POMGNT2	ENSG00000144647.6
10014	ENSG00000144655	CSRNP1	ENSG00000144655.15
10015	ENSG00000144659	SLC25A38	ENSG00000144659.13
10023	ENSG00000151090	THRB	ENSG00000151090.19
10057	ENSG00000163820	FYCO1	ENSG00000163820.15
10063	ENSG00000164047	CAMP	ENSG00000164047.6
10078	ENSG00000169981	ZNF35	ENSG00000169981.11
10096	ENSG00000173769	TOPAZ1	ENSG00000173769.4
10100	ENSG00000177842	ZNF620	ENSG00000177842.12
10101	ENSG00000177873	ZNF619	ENSG00000177873.14
10105	ENSG00000178917	ZNF852	ENSG00000178917.16
10116	ENSG00000182973	CNOT10	ENSG00000182973.18
10119	ENSG00000183813	CCR4	ENSG00000183813.7
10135	ENSG00000196653	ZNF502	ENSG00000196653.12
10137	ENSG00000197885	NKIRAS1	ENSG00000197885.10
10364	ENSG00000249992	TMEM158	ENSG00000249992.2
10474	ENSG00000008300	CELSR3	ENSG00000008300.17
10483	ENSG00000023330	ALAS1	ENSG00000023330.15
10489	ENSG00000068001	HYAL2	ENSG00000068001.14
10498	ENSG00000114251	WNT5A	ENSG00000114251.14
10502	ENSG00000114316	USP4	ENSG00000114316.13
10508	ENSG00000114388	NPRL2	ENSG00000114388.14
10515	ENSG00000114767	RRP9	ENSG00000114767.7
10525	ENSG00000136068	FLNB	ENSG00000136068.14
10529	ENSG00000144741	SLC25A26	ENSG00000144741.17
10538	ENSG00000145040	UCN2	ENSG00000145040.4
10540	ENSG00000145050	MANF	ENSG00000145050.18
10541	ENSG00000151276	MAGI1	ENSG00000151276.23
10547	ENSG00000162267	ITIH3	ENSG00000162267.12
10564	ENSG00000163666	HESX1	ENSG00000163666.10
10567	ENSG00000163686	ABHD6	ENSG00000163686.15
10571	ENSG00000163931	TKT	ENSG00000163931.16
10572	ENSG00000163932	PRKCD	ENSG00000163932.15
10589	ENSG00000164081	TEX264	ENSG00000164081.12
10593	ENSG00000164088	PPM1M	ENSG00000164088.18
10597	ENSG00000168273	SMIM4	ENSG00000168273.8
10600	ENSG00000168301	KCTD6	ENSG00000168301.13
10603	ENSG00000168374	ARF4	ENSG00000168374.11
10622	ENSG00000177479	ARIH2	ENSG00000177479.19
10628	ENSG00000178537	SLC25A20	ENSG00000178537.10
10641	ENSG00000186451	SPATA12	ENSG00000186451.2
10650	ENSG00000189283	FHIT	ENSG00000189283.10
10651	ENSG00000198218	QRICH1	ENSG00000198218.11
10652	ENSG00000198643	FAM3D	ENSG00000198643.7
10972	ENSG00000064225	ST3GAL6	ENSG00000064225.12
10979	ENSG00000080819	CPOX	ENSG00000080819.9
10983	ENSG00000082701	GSK3B	ENSG00000082701.15
10984	ENSG00000083937	CHMP2B	ENSG00000083937.9
10988	ENSG00000113924	HGD	ENSG00000113924.12
10995	ENSG00000114446	IFT57	ENSG00000114446.5
10996	ENSG00000114455	HHLA2	ENSG00000114455.13
11004	ENSG00000121578	B4GALT4	ENSG00000121578.13
11009	ENSG00000138472	GUCA1C	ENSG00000138472.11
11021	ENSG00000144840	RABL3	ENSG00000144840.9
11033	ENSG00000154174	TOMM70	ENSG00000154174.8
11038	ENSG00000163428	LRRC58	ENSG00000163428.4
11039	ENSG00000163430	FSTL1	ENSG00000163430.12
11080	ENSG00000181722	ZBTB20	ENSG00000181722.16
11082	ENSG00000182504	CEP97	ENSG00000182504.11
11470	ENSG00000036828	CASR	ENSG00000036828.16
11472	ENSG00000051382	PIK3CB	ENSG00000051382.9
11476	ENSG00000065534	MYLK	ENSG00000065534.18
11483	ENSG00000075785	RAB7A	ENSG00000075785.13
11489	ENSG00000113971	NPHP3	ENSG00000113971.20
11497	ENSG00000114113	RBP2	ENSG00000114113.6
11499	ENSG00000114120	SLC25A36	ENSG00000114120.14
11509	ENSG00000114626	ABTB1	ENSG00000114626.18
11511	ENSG00000114654	EFCC1	ENSG00000114654.7
11525	ENSG00000138231	DBR1	ENSG00000138231.13
11528	ENSG00000138496	PARP9	ENSG00000138496.16
11535	ENSG00000145103	ILDR1	ENSG00000145103.15
11537	ENSG00000154917	RAB6B	ENSG00000154917.11
11551	ENSG00000160145	KALRN	ENSG00000160145.15
11553	ENSG00000163710	PCOLCE2	ENSG00000163710.9
11561	ENSG00000163864	NMNAT3	ENSG00000163864.17
11562	ENSG00000163870	TPRA1	ENSG00000163870.16
11566	ENSG00000163913	IFT122	ENSG00000163913.11
11578	ENSG00000172771	EFCAB12	ENSG00000172771.12
11585	ENSG00000173702	MUC13	ENSG00000173702.7
11586	ENSG00000173706	HEG1	ENSG00000173706.14
11594	ENSG00000175054	ATR	ENSG00000175054.16
11606	ENSG00000179407	DNAJB8	ENSG00000179407.3
11607	ENSG00000180353	HCLS1	ENSG00000180353.11
11624	ENSG00000188582	PAQR9	ENSG00000188582.9
11968	ENSG00000047457	CP	ENSG00000047457.14
11997	ENSG00000121858	TNFSF10	ENSG00000121858.11
12000	ENSG00000121879	PIK3CA	ENSG00000121879.5
12008	ENSG00000144895	EIF2A	ENSG00000144895.12
12022	ENSG00000163590	PPM1L	ENSG00000163590.14
12026	ENSG00000163659	TIPARP	ENSG00000163659.13
12052	ENSG00000173890	GPR160	ENSG00000173890.17
12055	ENSG00000174891	RSRC1	ENSG00000174891.13
12076	ENSG00000184378	ACTRT3	ENSG00000184378.3
12078	ENSG00000186432	KPNA4	ENSG00000186432.9
12083	ENSG00000196549	MME	ENSG00000196549.10
12464	ENSG00000041802	LSG1	ENSG00000041802.11
12470	ENSG00000068078	FGFR3	ENSG00000068078.18
12475	ENSG00000073849	ST6GAL1	ENSG00000073849.15
12478	ENSG00000078081	LAMP3	ENSG00000078081.8
12489	ENSG00000113905	HRG	ENSG00000113905.5
12499	ENSG00000114796	KLHL24	ENSG00000114796.16
12500	ENSG00000114859	CLCN2	ENSG00000114859.16
12515	ENSG00000136514	RTP4	ENSG00000136514.3
12516	ENSG00000136527	TRA2B	ENSG00000136527.18
12523	ENSG00000145191	EIF2B5	ENSG00000145191.15
12551	ENSG00000163950	SLBP	ENSG00000163950.13
12552	ENSG00000163958	ZDHHC19	ENSG00000163958.14
12554	ENSG00000163960	UBXN7	ENSG00000163960.12
12555	ENSG00000163961	RNF168	ENSG00000163961.4
12558	ENSG00000168924	LETM1	ENSG00000168924.15
12560	ENSG00000168993	CPLX1	ENSG00000168993.15
12596	ENSG00000185619	PCGF3	ENSG00000185619.18
12607	ENSG00000188729	OSTN	ENSG00000188729.6
12656	ENSG00000214097	SMCO1	ENSG00000214097.5
12664	ENSG00000215375	MYL5	ENSG00000215375.6
12975	ENSG00000071127	WDR1	ENSG00000071127.17
12986	ENSG00000109519	GRPEL1	ENSG00000109519.13
12991	ENSG00000109667	SLC2A9	ENSG00000109667.12
13006	ENSG00000123933	MXD4	ENSG00000123933.17
13013	ENSG00000137440	FGFBP1	ENSG00000137440.5
13015	ENSG00000137449	CPEB2	ENSG00000137449.16
13047	ENSG00000169299	PGM2	ENSG00000169299.14
13055	ENSG00000170891	CYTL1	ENSG00000170891.11
13062	ENSG00000174145	NWD2	ENSG00000174145.8
13073	ENSG00000184985	SORCS2	ENSG00000184985.16
13085	ENSG00000197712	FAM114A1	ENSG00000197712.12
13115	ENSG00000215612	HMX1	ENSG00000215612.8
13284	ENSG00000250317	SMIM20	ENSG00000250317.8
13464	ENSG00000056291	NPFFR2	ENSG00000056291.17
13480	ENSG00000109133	TMEM33	ENSG00000109133.13
13507	ENSG00000128052	KDR	ENSG00000128052.10
13516	ENSG00000134853	PDGFRA	ENSG00000134853.12
13520	ENSG00000135605	TEC	ENSG00000135605.13
13524	ENSG00000145244	CORIN	ENSG00000145244.12
13536	ENSG00000156136	DCK	ENSG00000156136.10
13538	ENSG00000157404	KIT	ENSG00000157404.15
13539	ENSG00000157426	AASDH	ENSG00000157426.14
13545	ENSG00000163288	GABRB1	ENSG00000163288.14
13555	ENSG00000168421	RHOH	ENSG00000168421.13
13588	ENSG00000188848	BEND4	ENSG00000188848.16
13589	ENSG00000188993	LRRC66	ENSG00000188993.3
13592	ENSG00000196620	UGT2B15	ENSG00000196620.10
13967	ENSG00000109339	MAPK10	ENSG00000109339.24
13974	ENSG00000124875	CXCL6	ENSG00000124875.10
13994	ENSG00000138756	BMP2K	ENSG00000138756.17
14003	ENSG00000138771	SHROOM3	ENSG00000138771.16
14005	ENSG00000138777	PPA2	ENSG00000138777.20
14015	ENSG00000138821	SLC39A8	ENSG00000138821.13
14017	ENSG00000145283	SLC10A6	ENSG00000145283.8
14024	ENSG00000145337	PYURF	ENSG00000145337.5
14027	ENSG00000145358	DDIT4L	ENSG00000145358.6
14031	ENSG00000152591	DSPP	ENSG00000152591.15
14033	ENSG00000152595	MEPE	ENSG00000152595.16
14084	ENSG00000169245	CXCL10	ENSG00000169245.6
14106	ENSG00000184305	CCSER1	ENSG00000184305.15
14458	ENSG00000077684	JADE1	ENSG00000077684.16
14460	ENSG00000109381	ELF2	ENSG00000109381.20
14464	ENSG00000109445	ZNF330	ENSG00000109445.11
14469	ENSG00000120519	SLC10A7	ENSG00000120519.14
14483	ENSG00000138735	PDE5A	ENSG00000138735.16
14484	ENSG00000138738	PRDM5	ENSG00000138738.10
14486	ENSG00000138792	ENPEP	ENSG00000138792.10
14509	ENSG00000151617	EDNRA	ENSG00000151617.17
14532	ENSG00000164162	ANAPC10	ENSG00000164162.14
14534	ENSG00000164164	OTUD4	ENSG00000164164.17
14541	ENSG00000170185	USP38	ENSG00000170185.10
14545	ENSG00000172007	RAB33B	ENSG00000172007.7
14556	ENSG00000179387	ELMOD2	ENSG00000179387.10
14986	ENSG00000137628	DDX60	ENSG00000137628.17
15012	ENSG00000164107	HAND2	ENSG00000164107.8
15015	ENSG00000164117	FBXO8	ENSG00000164117.14
15027	ENSG00000164305	CASP3	ENSG00000164305.19
15034	ENSG00000168564	CDKN2AIP	ENSG00000168564.6
15042	ENSG00000171503	ETFDH	ENSG00000171503.12
15070	ENSG00000198948	MFAP3L	ENSG00000198948.12
15105	ENSG00000218336	TENM3	ENSG00000218336.9
15460	ENSG00000073578	SDHA	ENSG00000073578.17
15466	ENSG00000112877	CEP72	ENSG00000112877.8
15474	ENSG00000133398	MED10	ENSG00000133398.4
15486	ENSG00000150753	CCT5	ENSG00000150753.12
15501	ENSG00000164363	SLC6A18	ENSG00000164363.10
15502	ENSG00000164366	CCDC127	ENSG00000164366.4
15509	ENSG00000171368	TPPP	ENSG00000171368.12
15510	ENSG00000171421	MRPL36	ENSG00000171421.13
15517	ENSG00000180104	EXOC3	ENSG00000180104.16
15699	ENSG00000249915	PDCD6	ENSG00000249915.8
15962	ENSG00000082068	WDR70	ENSG00000082068.9
15971	ENSG00000112964	GHR	ENSG00000112964.14
15976	ENSG00000113100	CDH9	ENSG00000113100.10
15987	ENSG00000113494	PRLR	ENSG00000113494.17
15990	ENSG00000113600	C9	ENSG00000113600.11
15991	ENSG00000113638	TTC33	ENSG00000113638.14
15994	ENSG00000132357	CARD6	ENSG00000132357.14
15996	ENSG00000134352	IL6ST	ENSG00000134352.20
16002	ENSG00000145632	PLK2	ENSG00000145632.15
16008	ENSG00000151882	CCL28	ENSG00000151882.11
16026	ENSG00000164181	ELOVL7	ENSG00000164181.14
16027	ENSG00000164182	NDUFAF2	ENSG00000164182.11
16039	ENSG00000164588	HCN1	ENSG00000164588.8
16040	ENSG00000168621	GDNF	ENSG00000168621.15
16059	ENSG00000182631	RXFP3	ENSG00000182631.7
16060	ENSG00000182836	PLCXD3	ENSG00000182836.10
16453	ENSG00000069020	MAST4	ENSG00000069020.18
16467	ENSG00000113356	POLR3G	ENSG00000113356.12
16485	ENSG00000132846	ZBED3	ENSG00000132846.6
16488	ENSG00000134058	CDK7	ENSG00000134058.12
16496	ENSG00000145692	BHMT	ENSG00000145692.15
16498	ENSG00000145703	IQGAP2	ENSG00000145703.16
16504	ENSG00000145740	SLC30A5	ENSG00000145740.19
16507	ENSG00000152359	POC5	ENSG00000152359.15
16508	ENSG00000152380	FAM151B	ENSG00000152380.10
16510	ENSG00000152413	HOMER1	ENSG00000152413.15
16530	ENSG00000164300	SERINC5	ENSG00000164300.17
16552	ENSG00000177034	MTX3	ENSG00000177034.16
16566	ENSG00000189127	ANKRD34B	ENSG00000189127.8
16570	ENSG00000197860	SGTB	ENSG00000197860.10
16615	ENSG00000214944	ARHGEF28	ENSG00000214944.9
16961	ENSG00000112893	MAN2A1	ENSG00000112893.9
16970	ENSG00000118985	ELL2	ENSG00000118985.16
16983	ENSG00000138829	FBN2	ENSG00000138829.12
16994	ENSG00000145782	ATG12	ENSG00000145782.13
17011	ENSG00000164211	STARD4	ENSG00000164211.13
17013	ENSG00000164221	CCDC112	ENSG00000164221.13
17039	ENSG00000172869	DMXL1	ENSG00000172869.14
17044	ENSG00000174132	FAM174A	ENSG00000174132.9
17045	ENSG00000174136	RGMB	ENSG00000174136.13
17055	ENSG00000181867	FTMT	ENSG00000181867.3
17056	ENSG00000184349	EFNA5	ENSG00000184349.13
17057	ENSG00000184838	PRR16	ENSG00000184838.15
17064	ENSG00000197375	SLC22A5	ENSG00000197375.12
17070	ENSG00000198944	SOWAHA	ENSG00000198944.6
17086	ENSG00000205302	SNX2	ENSG00000205302.7
17476	ENSG00000112983	BRD8	ENSG00000112983.17
17489	ENSG00000113248	PCDHB15	ENSG00000113248.6
17505	ENSG00000113721	PDGFRB	ENSG00000113721.14
17514	ENSG00000120328	PCDHB12	ENSG00000120328.6
17525	ENSG00000131495	NDUFA2	ENSG00000131495.8
17541	ENSG00000145839	IL9	ENSG00000145839.2
17544	ENSG00000145882	PCYOX1L	ENSG00000145882.11
17550	ENSG00000146021	KLHL3	ENSG00000146021.15
17560	ENSG00000157510	AFAP1L1	ENSG00000157510.14
17570	ENSG00000164591	MYOZ3	ENSG00000164591.13
17586	ENSG00000171720	HDAC3	ENSG00000171720.10
17592	ENSG00000176049	JAKMIP2	ENSG00000176049.16
17600	ENSG00000181965	NEUROG1	ENSG00000181965.6
17601	ENSG00000182578	CSF1R	ENSG00000182578.13
17605	ENSG00000183876	ARSI	ENSG00000183876.9
17652	ENSG00000213523	SRA1	ENSG00000213523.10
17685	ENSG00000237190	CDKN2AIPNL	ENSG00000237190.4
17950	ENSG00000038274	MAT2B	ENSG00000038274.17
17958	ENSG00000055147	FAM114A2	ENSG00000055147.19
17961	ENSG00000072786	STK10	ENSG00000072786.13
17965	ENSG00000082515	MRPL22	ENSG00000082515.18
17966	ENSG00000082516	GEMIN5	ENSG00000082516.9
17975	ENSG00000113240	CLK4	ENSG00000113240.13
17976	ENSG00000113249	HAVCR1	ENSG00000113249.13
17978	ENSG00000113263	ITK	ENSG00000113263.12
17981	ENSG00000113302	IL12B	ENSG00000113302.5
17987	ENSG00000113719	ERGIC1	ENSG00000113719.16
17996	ENSG00000118322	ATP10B	ENSG00000118322.14
18002	ENSG00000123643	SLC36A1	ENSG00000123643.13
18004	ENSG00000131187	F12	ENSG00000131187.9
18006	ENSG00000132911	NMUR2	ENSG00000132911.4
18016	ENSG00000145864	GABRB2	ENSG00000145864.13
18026	ENSG00000145934	TENM2	ENSG00000145934.16
18037	ENSG00000156427	FGF18	ENSG00000156427.8
18040	ENSG00000164330	EBF1	ENSG00000164330.17
18058	ENSG00000169258	GPRIN1	ENSG00000169258.7
18083	ENSG00000181163	NPM1	ENSG00000181163.13
18097	ENSG00000196570	PFN3	ENSG00000196570.3
18447	ENSG00000021355	SERPINB1	ENSG00000021355.13
18448	ENSG00000037280	FLT4	ENSG00000037280.16
18451	ENSG00000050748	MAPK9	ENSG00000050748.17
18454	ENSG00000095951	HIVEP1	ENSG00000095951.17
18459	ENSG00000111845	PAK1IP1	ENSG00000111845.5
18483	ENSG00000124491	F13A1	ENSG00000124491.16
18497	ENSG00000124789	NUP153	ENSG00000124789.11
18498	ENSG00000124795	DEK	ENSG00000124795.17
18502	ENSG00000131446	MGAT1	ENSG00000131446.16
18503	ENSG00000131459	GFPT2	ENSG00000131459.13
18513	ENSG00000137274	BPHL	ENSG00000137274.13
18514	ENSG00000137275	RIPK1	ENSG00000137275.14
18529	ENSG00000146049	KAAG1	ENSG00000146049.2
18530	ENSG00000146054	TRIM7	ENSG00000146054.18
18533	ENSG00000152954	NRSN1	ENSG00000152954.12
18534	ENSG00000153046	CDYL	ENSG00000153046.18
18538	ENSG00000161011	SQSTM1	ENSG00000161011.20
18594	ENSG00000205269	TMEM170B	ENSG00000205269.6
18664	ENSG00000219607	PPP1R3G	ENSG00000219607.3
18691	ENSG00000224531	SMIM13	ENSG00000224531.6
18700	ENSG00000225921	NOL7	ENSG00000225921.7
18968	ENSG00000137331	IER3	ENSG00000137331.12
18973	ENSG00000137411	VARS2	ENSG00000137411.18
19009	ENSG00000189298	ZKSCAN3	ENSG00000189298.14
19027	ENSG00000198704	GPX6	ENSG00000198704.9
19052	ENSG00000204371	EHMT2	ENSG00000204371.11
19054	ENSG00000204386	NEU1	ENSG00000204386.11
19091	ENSG00000204560	DHX16	ENSG00000204560.10
19095	ENSG00000204574	ABCF1	ENSG00000204574.13
19097	ENSG00000204580	DDR1	ENSG00000204580.13
19122	ENSG00000204701	OR2J3	ENSG00000204701.2
19447	ENSG00000007866	TEAD3	ENSG00000007866.21
19452	ENSG00000024048	UBR2	ENSG00000024048.10
19461	ENSG00000065029	ZNF76	ENSG00000065029.15
19466	ENSG00000095981	KCNK16	ENSG00000095981.10
19474	ENSG00000096384	HSP90AB1	ENSG00000096384.20
19478	ENSG00000112033	PPARD	ENSG00000112033.14
19482	ENSG00000112062	MAPK14	ENSG00000112062.10
19494	ENSG00000112511	PHF1	ENSG00000112511.17
19522	ENSG00000124587	PEX6	ENSG00000124587.14
19526	ENSG00000124608	AARS2	ENSG00000124608.5
19550	ENSG00000137168	PPIL1	ENSG00000137168.8
19552	ENSG00000137193	PIM1	ENSG00000137193.14
19554	ENSG00000137204	SLC22A7	ENSG00000137204.14
19562	ENSG00000137392	CLPS	ENSG00000137392.10
19571	ENSG00000146215	CRIP3	ENSG00000146215.13
19572	ENSG00000146216	TTBK1	ENSG00000146216.13
19594	ENSG00000168394	TAP1	ENSG00000168394.11
19598	ENSG00000171462	DLK2	ENSG00000171462.15
19638	ENSG00000198502	HLA-DRB5	ENSG00000198502.6
19662	ENSG00000204227	RING1	ENSG00000204227.5
19664	ENSG00000204231	RXRB	ENSG00000204231.10
19667	ENSG00000204256	BRD2	ENSG00000204256.13
19695	ENSG00000213588	ZBTB9	ENSG00000213588.6
19778	ENSG00000230062	ANKRD66	ENSG00000230062.5
19789	ENSG00000231500	RPS18	ENSG00000231500.7
19809	ENSG00000236104	ZBTB22	ENSG00000236104.3
19946	ENSG00000001084	GCLC	ENSG00000001084.13
19954	ENSG00000065615	CYB5R4	ENSG00000065615.14
19964	ENSG00000096093	EFHC1	ENSG00000096093.16
19970	ENSG00000112116	IL17F	ENSG00000112116.10
19989	ENSG00000112742	TTK	ENSG00000112742.10
19991	ENSG00000112837	TBX18	ENSG00000112837.17
19992	ENSG00000118402	ELOVL4	ENSG00000118402.6
20022	ENSG00000137269	LRRC1	ENSG00000137269.15
20032	ENSG00000146276	GABRR1	ENSG00000146276.12
20035	ENSG00000146282	RARS2	ENSG00000146282.18
20039	ENSG00000154548	SRSF12	ENSG00000154548.9
20058	ENSG00000188107	EYS	ENSG00000188107.15
20062	ENSG00000198478	SH3BGRL2	ENSG00000198478.8
20083	ENSG00000203908	KHDC3L	ENSG00000203908.4
20446	ENSG00000010810	FYN	ENSG00000010810.17
20451	ENSG00000047936	ROS1	ENSG00000047936.10
20459	ENSG00000079931	MOXD1	ENSG00000079931.15
20461	ENSG00000080546	SESN1	ENSG00000080546.13
20472	ENSG00000111877	MCM9	ENSG00000111877.17
20481	ENSG00000112218	GPR63	ENSG00000112218.9
20488	ENSG00000112282	MED23	ENSG00000112282.18
20508	ENSG00000123552	USP45	ENSG00000123552.17
20509	ENSG00000130347	RTN4IP1	ENSG00000130347.13
20515	ENSG00000135333	EPHA7	ENSG00000135333.14
20519	ENSG00000135549	PKIB	ENSG00000135549.15
20522	ENSG00000146263	MMS22L	ENSG00000146263.11
20532	ENSG00000146385	TAAR8	ENSG00000146385.1
20545	ENSG00000164465	DCBLD1	ENSG00000164465.18
20553	ENSG00000172469	MANEA	ENSG00000172469.16
20558	ENSG00000173626	TRAPPC3L	ENSG00000173626.10
20575	ENSG00000187772	LIN28B	ENSG00000187772.8
20580	ENSG00000196376	SLC35F1	ENSG00000196376.11
20582	ENSG00000196591	HDAC2	ENSG00000196591.12
20587	ENSG00000198945	L3MBTL3	ENSG00000198945.8
20834	ENSG00000249853	HS3ST5	ENSG00000249853.7
20942	ENSG00000001036	FUCA2	ENSG00000001036.14
20945	ENSG00000010818	HIVEP2	ENSG00000010818.10
20946	ENSG00000016402	IL20RA	ENSG00000016402.13
20950	ENSG00000029363	BCLAF1	ENSG00000029363.17
20959	ENSG00000078269	SYNJ2	ENSG00000078269.15
