	ensg	gene_name_v99	ensg_v99
56911	ENSG00000100095	SEZ6L	ENSG00000100095.19
56921	ENSG00000100122	CRYBB1	ENSG00000100122.7
56943	ENSG00000100226	GTPBP1	ENSG00000100226.16
56947	ENSG00000100263	RHBDD3	ENSG00000100263.14
56952	ENSG00000100285	NEFH	ENSG00000100285.10
56956	ENSG00000100302	RASD2	ENSG00000100302.7
56960	ENSG00000100325	ASCC2	ENSG00000100325.15
56971	ENSG00000100368	CSF2RB	ENSG00000100368.14
56975	ENSG00000128242	GAL3ST1	ENSG00000128242.13
56978	ENSG00000128253	RFPL2	ENSG00000128253.15
56995	ENSG00000133422	MORC2	ENSG00000133422.13
56998	ENSG00000133454	MYO18B	ENSG00000133454.15
57416	ENSG00000100227	POLDIP3	ENSG00000100227.18
57449	ENSG00000100376	FAM118A	ENSG00000100376.12
57462	ENSG00000100418	DESI1	ENSG00000100418.8
57481	ENSG00000128285	MCHR1	ENSG00000128285.4
57495	ENSG00000146938	NLGN4X	ENSG00000146938.16
57498	ENSG00000159307	SCUBE1	ENSG00000159307.19
57514	ENSG00000172346	CSDC2	ENSG00000172346.15
57536	ENSG00000183066	WBP2NL	ENSG00000183066.14
57537	ENSG00000183172	SMDT1	ENSG00000183172.9
57550	ENSG00000185386	MAPK11	ENSG00000185386.15
57564	ENSG00000188677	PARVB	ENSG00000188677.14
57577	ENSG00000198355	PIM3	ENSG00000198355.5
57926	ENSG00000047230	CTPS2	ENSG00000047230.15
57931	ENSG00000069509	FUNDC1	ENSG00000069509.6
57934	ENSG00000086712	TXLNG	ENSG00000086712.13
57944	ENSG00000102010	BMX	ENSG00000102010.15
57966	ENSG00000126010	GRPR	ENSG00000126010.6
57968	ENSG00000126759	CFP	ENSG00000126759.13
57969	ENSG00000126767	ELK1	ENSG00000126767.18
57978	ENSG00000131831	RAI2	ENSG00000131831.18
57986	ENSG00000147050	KDM6A	ENSG00000147050.14
57988	ENSG00000147117	ZNF157	ENSG00000147117.7
57991	ENSG00000147121	KRBOX4	ENSG00000147121.16
58018	ENSG00000171657	GPR82	ENSG00000171657.6
58023	ENSG00000174010	KLHL15	ENSG00000174010.9
58027	ENSG00000176746	MAGEB6	ENSG00000176746.6
58031	ENSG00000177189	RPS6KA3	ENSG00000177189.14
58037	ENSG00000181544	FANCB	ENSG00000181544.15
58042	ENSG00000183337	BCOR	ENSG00000183337.17
58047	ENSG00000185448	FAM47A	ENSG00000185448.10
58050	ENSG00000185915	KLHL34	ENSG00000185915.5
58074	ENSG00000198798	MAGEB3	ENSG00000198798.5
58182	ENSG00000226372	DCAF8L1	ENSG00000226372.4
58439	ENSG00000094631	HDAC6	ENSG00000094631.21
58449	ENSG00000102057	KCND1	ENSG00000102057.10
58452	ENSG00000102103	PQBP1	ENSG00000102103.16
58460	ENSG00000102317	RBM3	ENSG00000102317.18
58462	ENSG00000120498	TEX11	ENSG00000120498.13
58467	ENSG00000125931	CITED1	ENSG00000125931.11
58472	ENSG00000130052	STARD8	ENSG00000130052.13
58476	ENSG00000130385	BMP15	ENSG00000130385.6
58482	ENSG00000147081	AKAP4	ENSG00000147081.15
58484	ENSG00000147099	HDAC8	ENSG00000147099.21
58499	ENSG00000155659	VSIG4	ENSG00000155659.15
58502	ENSG00000158423	RIBC1	ENSG00000158423.17
58507	ENSG00000158813	EDA	ENSG00000158813.18
58509	ENSG00000165584	SSX3	ENSG00000165584.16
58511	ENSG00000169083	AR	ENSG00000169083.17
58514	ENSG00000169562	GJB1	ENSG00000169562.12
58515	ENSG00000171365	CLCN5	ENSG00000171365.17
58525	ENSG00000181704	YIPF6	ENSG00000181704.12
58545	ENSG00000186810	CXCR3	ENSG00000186810.8
58570	ENSG00000198881	ASB12	ENSG00000198881.10
58589	ENSG00000204271	SPIN3	ENSG00000204271.13
58929	ENSG00000010671	BTK	ENSG00000010671.15
58945	ENSG00000101811	CSTF2	ENSG00000101811.13
58956	ENSG00000102144	PGK1	ENSG00000102144.15
58958	ENSG00000102271	KLHL4	ENSG00000102271.14
58978	ENSG00000123576	ESX1	ENSG00000123576.5
58983	ENSG00000126945	HNRNPH2	ENSG00000126945.9
58990	ENSG00000131263	RLIM	ENSG00000131263.13
59001	ENSG00000147138	GPR174	ENSG00000147138.2
59006	ENSG00000147206	NXF3	ENSG00000147206.17
59012	ENSG00000155008	APOOL	ENSG00000155008.14
59021	ENSG00000165240	ATP7A	ENSG00000165240.20
59022	ENSG00000165259	HDX	ENSG00000165259.14
59044	ENSG00000180964	TCEAL8	ENSG00000180964.17
59047	ENSG00000182508	LHFPL1	ENSG00000182508.14
59057	ENSG00000186310	NAP1L3	ENSG00000186310.10
59063	ENSG00000188419	CHM	ENSG00000188419.14
59078	ENSG00000198934	MAGEE1	ENSG00000198934.5
59433	ENSG00000076716	GPC4	ENSG00000076716.9
59436	ENSG00000077721	UBE2A	ENSG00000077721.16
59443	ENSG00000101966	XIAP	ENSG00000101966.12
59445	ENSG00000101974	ATP11C	ENSG00000101974.14
59446	ENSG00000101977	MCF2	ENSG00000101977.21
59460	ENSG00000123165	ACTRT1	ENSG00000123165.8
59467	ENSG00000125356	NDUFA1	ENSG00000125356.7
59491	ENSG00000156500	FAM122C	ENSG00000156500.15
59524	ENSG00000182195	LDOC1	ENSG00000182195.9
59525	ENSG00000182890	GLUD2	ENSG00000182890.5
59925	ENSG00000011677	GABRA3	ENSG00000011677.13
59931	ENSG00000067646	ZFY	ENSG00000067646.12
59948	ENSG00000102119	EMD	ENSG00000102119.11
59951	ENSG00000102181	CD99L2	ENSG00000102181.21
59952	ENSG00000102195	GPR50	ENSG00000102195.10
59966	ENSG00000130032	PRRG3	ENSG00000130032.16
59968	ENSG00000130822	PNCK	ENSG00000130822.15
59988	ENSG00000160219	GAB3	ENSG00000160219.12
60019	ENSG00000184216	IRAK1	ENSG00000184216.14
60042	ENSG00000198681	MAGEA1	ENSG00000198681.7
60046	ENSG00000198930	CSAG1	ENSG00000198930.13
60051	ENSG00000203879	GDI1	ENSG00000203879.12
60413	ENSG00000165246	NLGN4Y	ENSG00000165246.14
60465	ENSG00000198888	MT-ND1	ENSG00000198888.2
